Fermenter:;;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter03;Fermenter03;Fermenter03;Fermenter03;Fermenter03;Fermenter03;
Sensor:;;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-3;BDCU-3;BDCU-3;BDCU-3;BDCU-3;BDCU-3;
Channel:;;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH1-NO;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;
Unit:;;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;
Id:;;25;26;27;28;29;30;31;19;20;21;22;23;24;32;33;34;35;51;52;
Serial:;;890;890;890;890;890;890;890;883;883;883;883;883;883;894;894;894;894;894;894;
UTC;LocalTime;
2026-02-10 21:28:07;2026-02-10 13:28:07;0.12858;20.79312;1.117;33.78347;25.95331;1.00476;;1.00592;0.17472;20.73107;1.00592;0.17472;20.73107;1.1693;33.28145;26.94667;1.00426;0.0976;21.96311;
2026-02-10 21:28:12;2026-02-10 13:28:12;0.13029;20.79215;1.00475;0.13029;20.79215;1.00475;;1.13954;35.03319;25.57412;1.00593;0.17594;20.7317;1.00427;0.09745;21.96198;1.00427;0.09745;21.96198;
2026-02-10 21:28:17;2026-02-10 13:28:17;0.13029;20.79215;1.00475;0.13029;20.79215;1.00475;;1.13954;35.03319;25.57412;1.00593;0.17594;20.7317;1.00427;0.09745;21.96198;1.00427;0.09745;21.96198;
2026-02-10 21:28:22;2026-02-10 13:28:22;0.13096;20.79009;1.12441;33.92081;25.96666;1.00485;;1.00594;0.17666;20.73013;1.00594;0.17666;20.73013;1.00429;0.09831;21.95945;1.00429;0.09831;21.95945;
2026-02-10 21:28:27;2026-02-10 13:28:27;0.13096;20.79009;1.12441;33.92081;25.96666;1.00485;;1.00594;0.17666;20.73013;1.00594;0.17666;20.73013;1.00429;0.09831;21.95945;1.00429;0.09831;21.95945;
2026-02-10 21:28:32;2026-02-10 13:28:32;0.13237;20.78647;1.12777;33.95743;25.96666;1.00486;;1.00594;0.17666;20.73013;1.00594;0.17666;20.73013;1.17064;33.35927;26.9173;1.0043;0.09878;21.9588;
2026-02-10 21:28:37;2026-02-10 13:28:37;0.13237;20.78647;1.12777;33.95743;25.96666;1.00486;;1.00594;0.17666;20.73013;1.00594;0.17666;20.73013;1.17064;33.35927;26.9173;1.0043;0.09878;21.9588;
2026-02-10 21:28:42;2026-02-10 13:28:42;0.13384;20.78404;1.00482;0.13384;20.78404;1.00482;;1.00594;0.17666;20.73013;1.00594;0.17666;20.73013;1.17257;33.32113;26.93065;1.00431;0.09933;21.96183;
2026-02-10 21:28:47;2026-02-10 13:28:47;0.13384;20.78404;1.00482;0.13384;20.78404;1.00482;;1.00594;0.17666;20.73013;1.00594;0.17666;20.73013;1.17257;33.32113;26.93065;1.00431;0.09933;21.96183;
2026-02-10 21:28:52;2026-02-10 13:28:52;0.13495;20.78358;1.13152;34.0444;25.96666;1.00479;;1.14604;35.19799;25.61685;1.0059;0.17761;20.72756;1.17116;33.38674;26.93065;1.00432;0.09899;21.96188;
2026-02-10 21:28:57;2026-02-10 13:28:57;0.13495;20.78358;1.13152;34.0444;25.96666;1.00479;;1.14604;35.19799;25.61685;1.0059;0.17761;20.72756;1.17116;33.38674;26.93065;1.00432;0.09899;21.96188;
2026-02-10 21:29:02;2026-02-10 13:29:02;0.13614;20.78181;1.00477;0.13614;20.78181;1.00477;;1.00592;0.17749;20.73003;1.00592;0.17749;20.73003;1.1745;33.38674;26.94667;1.00426;0.09918;21.96148;
2026-02-10 21:29:07;2026-02-10 13:29:07;0.13614;20.78181;1.00477;0.13614;20.78181;1.00477;;1.00592;0.17749;20.73003;1.00592;0.17749;20.73003;1.1745;33.38674;26.94667;1.00426;0.09918;21.96148;
2026-02-10 21:29:12;2026-02-10 13:29:12;0.13682;20.77809;1.13535;34.1558;25.95331;1.00481;;1.14758;35.28954;25.6302;1.00591;0.17701;20.73105;1.17353;33.44167;26.93065;1.00426;0.09957;21.95977;
2026-02-10 21:29:17;2026-02-10 13:29:17;0.13682;20.77809;1.13535;34.1558;25.95331;1.00481;;1.14758;35.28954;25.6302;1.00591;0.17701;20.73105;1.17353;33.44167;26.93065;1.00426;0.09957;21.95977;
2026-02-10 21:29:22;2026-02-10 13:29:22;0.13728;20.77838;1.13576;34.18174;25.95331;1.00484;;1.14758;35.28954;25.6302;1.00591;0.17701;20.73105;1.00427;0.09964;21.95921;1.00427;0.09964;21.95921;
2026-02-10 21:29:27;2026-02-10 13:29:27;0.13728;20.77838;1.13576;34.18174;25.95331;1.00484;;1.14758;35.28954;25.6302;1.00591;0.17701;20.73105;1.00427;0.09964;21.95921;1.00427;0.09964;21.95921;
2026-02-10 21:29:32;2026-02-10 13:29:32;0.13787;20.779;1.00478;0.13787;20.779;1.00478;;1.0059;0.17461;20.73502;1.0059;0.17461;20.73502;1.17953;33.48135;26.93065;1.00426;0.10045;21.96049;
2026-02-10 21:29:37;2026-02-10 13:29:37;0.13787;20.779;1.00478;0.13787;20.779;1.00478;;1.0059;0.17461;20.73502;1.0059;0.17461;20.73502;1.17953;33.48135;26.93065;1.00426;0.10045;21.96049;
2026-02-10 21:29:42;2026-02-10 13:29:42;0.13791;20.78174;1.13775;34.23362;25.99603;1.00482;;1.00598;0.17379;20.7378;1.00598;0.17379;20.7378;1.17953;33.48135;26.93065;1.00426;0.10045;21.96049;
2026-02-10 21:29:47;2026-02-10 13:29:47;0.13791;20.78174;1.13775;34.23362;25.99603;1.00482;;1.00598;0.17379;20.7378;1.00598;0.17379;20.7378;1.17953;33.48135;26.93065;1.00426;0.10045;21.96049;
2026-02-10 21:29:52;2026-02-10 13:29:52;0.13736;20.78292;1.00482;0.13736;20.78292;1.00482;;1.00598;0.17379;20.7378;1.00598;0.17379;20.7378;1.17991;33.51034;26.96002;1.00434;0.09994;21.95764;
2026-02-10 21:29:57;2026-02-10 13:29:57;0.13736;20.78292;1.00482;0.13736;20.78292;1.00482;;1.00598;0.17379;20.7378;1.00598;0.17379;20.7378;1.17991;33.51034;26.96002;1.00434;0.09994;21.95764;
2026-02-10 21:30:02;2026-02-10 13:30:02;0.13736;20.78292;1.00482;0.13736;20.78292;1.00482;;1.00596;0.17177;20.73886;1.00596;0.17177;20.73886;1.17728;33.51034;26.94667;1.00433;0.10017;21.9553;
2026-02-10 21:30:07;2026-02-10 13:30:07;0.13736;20.78292;1.00482;0.13736;20.78292;1.00482;;1.00596;0.17177;20.73886;1.00596;0.17177;20.73886;1.17728;33.51034;26.94667;1.00433;0.10017;21.9553;
2026-02-10 21:30:12;2026-02-10 13:30:12;0.13672;20.78249;1.00478;0.13672;20.78249;1.00478;;1.1525;35.41314;25.61685;1.00596;0.1704;20.74171;1.17728;33.51034;26.94667;1.00433;0.10017;21.9553;
2026-02-10 21:30:17;2026-02-10 13:30:17;0.13672;20.78249;1.00478;0.13672;20.78249;1.00478;;1.1525;35.41314;25.61685;1.00596;0.1704;20.74171;1.17728;33.51034;26.94667;1.00433;0.10017;21.9553;
2026-02-10 21:30:22;2026-02-10 13:30:22;0.13672;20.78249;1.00478;0.13672;20.78249;1.00478;;1.15369;35.47723;25.6302;1.00592;0.16882;20.74438;1.18024;33.54696;26.9173;1.00433;0.10075;21.95177;
2026-02-10 21:30:27;2026-02-10 13:30:27;0.13672;20.78249;1.00478;0.13672;20.78249;1.00478;;1.15369;35.47723;25.6302;1.00592;0.16882;20.74438;1.18024;33.54696;26.9173;1.00433;0.10075;21.95177;
2026-02-10 21:30:32;2026-02-10 13:30:32;0.13672;20.78249;1.00478;0.13672;20.78249;1.00478;;1.15488;35.48791;25.64355;1.00587;0.16688;20.74705;1.00429;0.10164;21.95502;1.00429;0.10164;21.95502;
2026-02-10 21:30:37;2026-02-10 13:30:37;0.13672;20.78249;1.00478;0.13672;20.78249;1.00478;;1.15488;35.48791;25.64355;1.00587;0.16688;20.74705;1.00429;0.10164;21.95502;1.00429;0.10164;21.95502;
2026-02-10 21:30:42;2026-02-10 13:30:42;0.13489;20.78403;1.00481;0.13489;20.78403;1.00481;;1.15488;35.48791;25.64355;1.00587;0.16688;20.74705;1.17787;33.60494;26.94667;1.00428;0.10186;21.95501;
2026-02-10 21:30:47;2026-02-10 13:30:47;0.13489;20.78403;1.00481;0.13489;20.78403;1.00481;;1.15488;35.48791;25.64355;1.00587;0.16688;20.74705;1.17787;33.60494;26.94667;1.00428;0.10186;21.95501;
2026-02-10 21:30:52;2026-02-10 13:30:52;0.13425;20.78499;1.00479;0.13425;20.78499;1.00479;;1.15488;35.48791;25.64355;1.00587;0.16688;20.74705;1.00427;0.10237;21.95523;1.00427;0.10237;21.95523;
2026-02-10 21:30:57;2026-02-10 13:30:57;0.13425;20.78499;1.00479;0.13425;20.78499;1.00479;;1.15488;35.48791;25.64355;1.00587;0.16688;20.74705;1.00427;0.10237;21.95523;1.00427;0.10237;21.95523;
2026-02-10 21:31:02;2026-02-10 13:31:02;0.13425;20.78499;1.00479;0.13425;20.78499;1.00479;;1.00575;0.1627;20.75267;1.00575;0.1627;20.75267;1.18206;33.59121;26.93065;1.00426;0.10234;21.95759;
2026-02-10 21:31:07;2026-02-10 13:31:07;0.13425;20.78499;1.00479;0.13425;20.78499;1.00479;;1.00575;0.1627;20.75267;1.00575;0.1627;20.75267;1.18206;33.59121;26.93065;1.00426;0.10234;21.95759;
2026-02-10 21:31:12;2026-02-10 13:31:12;0.1329;20.78638;1.14479;34.46098;25.99603;1.0048;;1.00582;0.16128;20.75252;1.00582;0.16128;20.75252;1.1828;33.59121;26.94667;1.00428;0.10261;21.95509;
2026-02-10 21:31:17;2026-02-10 13:31:17;0.1329;20.78638;1.14479;34.46098;25.99603;1.0048;;1.00582;0.16128;20.75252;1.00582;0.16128;20.75252;1.1828;33.59121;26.94667;1.00428;0.10261;21.95509;
2026-02-10 21:31:22;2026-02-10 13:31:22;0.1329;20.78638;1.14479;34.46098;25.99603;1.0048;;1.00588;0.16002;20.75239;1.00588;0.16002;20.75239;1.18169;33.60189;26.93065;1.0043;0.10248;21.9536;
2026-02-10 21:31:27;2026-02-10 13:31:27;0.1329;20.78638;1.14479;34.46098;25.99603;1.0048;;1.00588;0.16002;20.75239;1.00588;0.16002;20.75239;1.18169;33.60189;26.93065;1.0043;0.10248;21.9536;
2026-02-10 21:31:32;2026-02-10 13:31:32;0.1314;20.78221;1.00476;0.1314;20.78221;1.00476;;1.00588;0.16002;20.75239;1.00588;0.16002;20.75239;1.0043;0.10224;21.95292;1.0043;0.10224;21.95292;
2026-02-10 21:31:37;2026-02-10 13:31:37;0.1314;20.78221;1.00476;0.1314;20.78221;1.00476;;1.00588;0.16002;20.75239;1.00588;0.16002;20.75239;1.0043;0.10224;21.95292;1.0043;0.10224;21.95292;
2026-02-10 21:31:42;2026-02-10 13:31:42;0.13066;20.78425;1.14656;34.47471;26.02274;1.00473;;1.00578;0.15809;20.75554;1.00578;0.15809;20.75554;1.18254;33.71481;26.96002;1.0043;0.1023;21.95158;
2026-02-10 21:31:47;2026-02-10 13:31:47;0.13066;20.78425;1.14656;34.47471;26.02274;1.00473;;1.00578;0.15809;20.75554;1.00578;0.15809;20.75554;1.18254;33.71481;26.96002;1.0043;0.1023;21.95158;
