Metabolite name,PPI_Ylip_Ctrl_24hr_13,PPI_Ylip_Ctrl_24hr_25,PPI_Ylip_Ctrl_24hr_37,PPI_Ylip_Ctrl_3hr_07,PPI_Ylip_Ctrl_3hr_19,PPI_Ylip_Ctrl_3hr_31,PPI_Ylip_Ctrl_48hr_15,PPI_Ylip_Ctrl_48hr_27,PPI_Ylip_Ctrl_48hr_39,PPI_Ylip_Ctrl_4hr_09,PPI_Ylip_Ctrl_4hr_21,PPI_Ylip_Ctrl_4hr_33,PPI_Ylip_Ctrl_5hr_11,PPI_Ylip_Ctrl_5hr_23,PPI_Ylip_Ctrl_5hr_35,PPI_Ylip_Ctrl_72hr_17,PPI_Ylip_Ctrl_72hr_29,PPI_Ylip_Ctrl_72hr_41,PPI_Ylip_Low_24hr_38,PPI_Ylip_Low_24hr_46,PPI_Ylip_Low_24hr_52,PPI_Ylip_Low_3hr_32,PPI_Ylip_Low_3hr_43,PPI_Ylip_Low_3hr_49,PPI_Ylip_Low_48hr_40,PPI_Ylip_Low_48hr_47,PPI_Ylip_Low_48hr_53,PPI_Ylip_Low_4hr_34,PPI_Ylip_Low_4hr_44,PPI_Ylip_Low_4hr_50,PPI_Ylip_Low_5hr_36,PPI_Ylip_Low_5hr_45,PPI_Ylip_Low_5hr_51,PPI_Ylip_Low_72hr_42,PPI_Ylip_Low_72hr_48,PPI_Ylip_Low_72hr_54,PPI_Ylip_Osc_24hr_04,PPI_Ylip_Osc_24hr_14,PPI_Ylip_Osc_24hr_26,PPI_Ylip_Osc_3hr_01,PPI_Ylip_Osc_3hr_08,PPI_Ylip_Osc_3hr_20,PPI_Ylip_Osc_47hr_05,PPI_Ylip_Osc_48hr_16,PPI_Ylip_Osc_48hr_28,PPI_Ylip_Osc_4hr_02,PPI_Ylip_Osc_4hr_10,PPI_Ylip_Osc_4hr_22,PPI_Ylip_Osc_5hr_03,PPI_Ylip_Osc_5hr_12,PPI_Ylip_Osc_5hr_24,PPI_Ylip_Osc_72hr_06,PPI_Ylip_Osc_72hr_18,PPI_Ylip_Osc_72hr_30
HexCer 47:9;4O_Neg,24.587163,24.73422076,24.81915085,24.05709345,23.59897421,24.48728883,24.10779676,24.07322922,24.07781779,23.54729002,24.86139562,24.41138286,24.918057,24.49106391,23.9453759,23.7399927,24.05822785,23.85463509,24.96601274,24.12468219,25.29206619,24.57910726,24.76225287,24.10689206,24.19457774,22.79595527,24.53222759,24.52156124,24.22651592,23.47839988,24.7222357,24.63556951,24.31789271,24.67048615,24.46642633,25.10022854,22.96312277,23.54324163,23.87117406,23.3566356,24.862703,24.43096352,21.97424599,22.86364086,21.84523183,24.86780859,24.99533288,24.56255508,24.47482719,23.87502934,24.87659454,21.45369015,21.97401499,22.29600756
HexCer 48:9;4O_Neg,19.28301402,19.65102393,19.95626544,21.85079204,20.19654919,21.7858285,19.29314318,17.97451907,18.85091926,20.72932078,21.66833147,21.96387986,21.86078654,20.96898456,20.79280826,18.21886322,18.48446443,18.28520979,21.89675423,21.44369706,22.12054342,21.77869646,21.72374038,21.86708011,21.47699914,20.33356917,21.9606497,22.17888841,20.85482909,21.4419157,21.87359374,21.38260779,21.86907956,22.13909673,22.26343283,22.07604982,18.52996806,19.38120911,19.26126934,20.05753436,22.26929125,22.09778725,16.90264847,18.70346181,15.88985835,21.77853313,22.23291669,22.26825561,21.06650733,20.81160823,22.12054289,15.31532327,17.64393841,17.64710745
HexCer 50:9;4O_Neg,20.75974305,21.40059317,21.49187271,23.26674785,22.22363464,23.20158304,22.01004731,20.95160739,21.17407802,22.71621028,22.96979971,23.37250135,23.40962247,22.30715954,22.19075462,21.14627609,21.45970019,20.91164901,23.09510673,23.14243233,23.79146522,23.23583271,23.11759627,23.48824294,22.97294134,22.40747334,22.95285128,23.43352118,22.64349542,23.28901971,23.33199431,23.20946689,23.32870085,23.5223547,24.50297612,24.36757813,20.71814746,21.03815416,21.03865843,21.99078588,23.70446378,23.70010539,19.90837192,21.21063921,19.84417178,23.21459814,23.5365033,23.81525229,22.52346769,22.2161373,23.48536339,19.81001811,20.48609852,20.25152239
HexCer 53:9;4O_Neg,22.89749763,23.44444072,23.23880635,21.48345325,22.09144558,21.83128374,23.00517353,22.89891633,22.81561907,21.53258551,21.79372118,21.8582036,21.74324347,20.69551406,21.30528149,22.73044537,23.26268927,22.53500999,24.08731719,23.63492391,24.44392146,21.91245318,21.71558405,22.13446675,24.30667087,22.90521551,23.60792235,21.2611812,21.34186314,21.66471154,21.51258291,22.58861364,20.81248116,24.61310725,24.86955758,25.00721281,22.09444107,21.3826972,22.1286771,21.46271309,21.8675882,22.16963732,20.64043451,21.81697046,20.90495491,22.05419923,21.74982361,21.45145088,20.97402051,21.27726121,21.34447381,20.6770979,20.8798132,21.71800481
LPE 14:0_Neg,23.31886204,22.93182184,21.6679048,18.65755799,21.1456878,19.27741918,22.99145398,23.24226311,23.01501925,18.04570297,19.1203692,19.29814684,17.58461001,20.50821817,18.8477186,22.85697601,22.32093208,23.04405823,21.96581894,23.12803907,21.26985871,19.23336374,19.64961751,20.323141,22.6856575,22.62011064,21.46354729,18.67998626,20.64719928,19.573991,18.18335126,21.05692968,19.32254706,22.94560035,21.45893713,21.87940231,23.43371347,24.35999428,24.93972988,20.05139941,19.80853717,19.81187864,23.2593363,23.80958902,23.63738399,20.15098916,18.23889773,18.8744442,19.64089356,19.29729571,18.69864565,23.59575758,22.69820314,23.39004628
LPE 15:0_Neg,22.22777603,22.62588455,22.5279933,19.39433803,21.3756146,18.5019083,23.51146247,24.14392524,23.94684053,18.17552554,18.51033058,18.55768685,17.89560913,20.27737167,19.03403693,22.90068943,23.0890857,23.78548358,22.57360398,23.71279789,21.86078654,19.21815647,19.7806342,21.04363007,22.8693701,23.34122691,22.05443452,19.77412829,20.38244558,19.79363792,17.95067984,19.9612178,19.5250122,23.20617145,22.04025751,21.20627178,22.26431668,23.38472048,24.34151033,20.26925609,18.76095844,18.5565972,23.53580157,24.01786189,24.01460704,18.2678467,17.59355753,19.29590259,19.23600235,19.30576341,18.7957404,22.9505795,23.04650665,24.1087443
LPE 16:0_Neg,29.09894346,29.3467223,29.32310419,26.11830738,27.88726681,26.05762852,28.85845296,28.98716703,28.65451142,25.08273199,25.91543711,26.56623245,25.21003154,27.88720629,26.49519458,28.19745957,28.01691802,28.43376204,27.56195344,27.75030973,26.86348748,26.50151849,27.41853891,27.85524112,26.95271395,26.96956983,26.73358528,27.68821733,27.7000814,26.01703375,25.1795855,27.00253256,26.44047142,27.36605876,26.11484491,25.63152633,28.71550299,29.10198854,29.78702339,27.0030675,24.95390691,25.63910724,28.26332166,28.81707746,28.61877235,24.63835153,25.3875851,27.21016271,26.67933037,25.7662229,25.57097349,27.80293708,27.43308333,28.69248353
LPE 16:1_Neg,27.32696924,26.59851898,26.8398446,23.42134672,25.6076944,21.9286594,29.41402961,30.30230587,29.89167587,22.68743926,22.2326673,20.75090648,21.83865528,24.56735367,23.22558395,29.06587271,28.97688327,30.3278571,27.19147891,28.58961361,25.78691932,23.00650984,23.80584737,24.64269262,27.85872283,28.06585612,26.28078534,22.57754369,24.91949435,23.96365093,21.78469476,23.44061054,23.34215902,28.1394719,26.26312666,25.65428423,27.08359525,28.66114293,29.57109976,25.06877505,23.32127105,22.83426342,29.39471036,29.93297746,29.83987263,21.60235394,21.86078654,22.53981524,24.07236193,24.19651304,22.82387364,29.32269836,29.35908793,30.42827945
LPE 16:2_Neg,25.42667628,25.04498353,20.24894262,19.10724222,21.41252094,21.78794305,23.74642358,23.80766946,23.23200358,18.89837113,21.48317562,22.24856182,19.52262967,20.54628607,18.82137424,24.80179009,22.69090813,24.00060216,20.61918183,22.95230944,20.10634145,20.86663829,19.8693697,20.97451822,20.51158751,20.95156163,19.37744218,19.92697777,21.21174378,20.05072858,18.54815366,23.25451827,20.31648517,20.00786868,19.25473149,22.11660513,24.72960975,22.88657816,23.29845955,21.27090368,22.23009317,22.49442901,22.90551836,22.73037793,23.61537265,21.83048945,19.44184513,18.90631745,20.07199607,20.38810736,19.53179393,25.52887802,22.89533756,23.84527485
LPE 17:0_Neg,19.07150125,19.87582576,19.65978769,19.39023994,19.72921302,19.83128947,18.4568576,18.10359985,18.44646062,17.57348745,18.47975994,19.80918112,16.58793812,19.3953874,18.31585012,20.60703046,20.2477723,19.89259425,18.8385619,18.86993053,18.57721771,20.02456661,19.49311718,20.69479879,17.30195191,17.90359155,18.10192444,20.00552709,19.3848147,18.90862051,17.67919767,18.60496388,18.53072857,18.32871735,17.17100813,16.39919429,19.03950345,19.34416394,19.8595174,18.91263545,19.31129309,19.1785569,17.77355378,18.45679624,17.67447185,17.32391144,18.28955239,19.84956788,17.92947357,17.44997947,18.50110575,16.53053662,19.41159086,17.09292398
