
                                              MFCS/win                    Report printed:                2024-11-03 12:49:24
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat22_control                   Batch created:            2024-10-30 16:46:55

 Experiment Start:          2024-10-30 16:46:55                 Experiment Stop:          2024-11-03 12:10:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  AFOAM

  Data
                                                      Value


 Date    /  Time                Age

31-10-2024 06:16:55            13.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 06:46:55            14.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 07:16:55            14.500   179769313486232000000000000000000   INVAL/OFF

31-10-2024 07:46:55            15.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 08:16:55            15.500   179769313486232000000000000000000   INVAL/OFF

31-10-2024 08:46:55            16.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 09:16:55            16.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 09:46:55            17.000   179769313486232000000000000000000   INVAL/OFF

31-10-2024 10:16:55            17.500   179769313486232000000000000000000   INVAL/OFF


31-10-2024 10:46:55            18.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 11:16:55            18.500   179769313486232000000000000000000   INVAL/OFF

31-10-2024 11:46:55            19.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 12:16:55            19.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 12:46:55            20.000   179769313486232000000000000000000   INVAL/OFF

31-10-2024 13:16:55            20.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 13:46:55            21.000   179769313486232000000000000000000   INVAL/OFF

31-10-2024 14:16:55            21.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 14:46:55            22.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 15:16:55            22.500   179769313486232000000000000000000   INVAL/OFF

31-10-2024 15:46:55            23.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 16:16:55            23.500   179769313486232000000000000000000   INVAL/OFF

31-10-2024 16:46:55            24.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 17:16:55            24.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 17:46:55            25.000   179769313486232000000000000000000   INVAL/OFF

31-10-2024 18:16:55            25.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 18:46:55            26.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 19:16:55            26.500   179769313486232000000000000000000   INVAL/OFF

31-10-2024 19:46:55            27.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 20:16:55            27.500   179769313486232000000000000000000   INVAL/OFF

31-10-2024 20:46:55            28.000   179769313486232000000000000000000   INVAL/OFF
31-10-2024 21:16:55            28.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 21:46:55            29.000   179769313486232000000000000000000   INVAL/OFF

31-10-2024 22:16:55            29.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 22:46:55            30.000   179769313486232000000000000000000   INVAL/OFF

31-10-2024 23:16:55            30.500   179769313486232000000000000000000   INVAL/OFF
31-10-2024 23:46:55            31.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 00:16:55            31.500   179769313486232000000000000000000   INVAL/OFF

01-11-2024 00:46:55            32.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 01:16:55            32.500   179769313486232000000000000000000   INVAL/OFF

01-11-2024 01:46:55            33.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 02:16:55            33.500   179769313486232000000000000000000   INVAL/OFF
01-11-2024 02:46:55            34.000   179769313486232000000000000000000   INVAL/OFF

01-11-2024 03:16:55            34.500   179769313486232000000000000000000   INVAL/OFF
01-11-2024 03:46:55            35.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 04:16:55            35.500   179769313486232000000000000000000   INVAL/OFF

01-11-2024 04:46:55            36.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 05:16:55            36.500   179769313486232000000000000000000   INVAL/OFF

01-11-2024 05:46:55            37.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 06:16:55            37.500   179769313486232000000000000000000   INVAL/OFF
01-11-2024 06:46:55            38.000   179769313486232000000000000000000   INVAL/OFF

01-11-2024 07:16:55            38.500   179769313486232000000000000000000   INVAL/OFF
01-11-2024 07:46:55            39.000   179769313486232000000000000000000   INVAL/OFF

01-11-2024 08:16:55            39.500   179769313486232000000000000000000   INVAL/OFF
01-11-2024 08:46:55            40.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 09:16:55            40.500   179769313486232000000000000000000   INVAL/OFF

01-11-2024 09:46:55            41.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 10:16:55            41.500   179769313486232000000000000000000   INVAL/OFF

01-11-2024 10:46:55            42.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 11:16:55            42.500   179769313486232000000000000000000   INVAL/OFF
01-11-2024 11:46:55            43.000   179769313486232000000000000000000   INVAL/OFF

01-11-2024 12:16:55            43.500   179769313486232000000000000000000   INVAL/OFF

01-11-2024 12:46:55            44.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 13:16:55            44.500   179769313486232000000000000000000   INVAL/OFF

01-11-2024 13:46:55            45.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 14:16:55            45.500   179769313486232000000000000000000   INVAL/OFF
01-11-2024 14:46:55            46.000   179769313486232000000000000000000   INVAL/OFF

01-11-2024 15:16:55            46.500   179769313486232000000000000000000   INVAL/OFF
01-11-2024 15:46:55            47.000   179769313486232000000000000000000   INVAL/OFF

01-11-2024 16:16:55            47.500   179769313486232000000000000000000   INVAL/OFF
01-11-2024 16:46:55            48.000   179769313486232000000000000000000   INVAL/OFF
01-11-2024 17:16:55            48.500   179769313486232000000000000000000   INVAL/OFF

01-11-2024 17:46:55            49.000   179769313486232000000000000000000   INVAL/OFF
