YALI0_ID,UniProt_ID
YALI0F23507g,Q6C0M1
YALI0F23485g,Q6C0M2
YALI0F23287g,Q6C0N0
YALI0F23243g,Q6C0N2
YALI0F23221g,Q6C0N3
YALI0F23111g,Q6C0N7
YALI0F23067g,Q6C0N9
YALI0F23045g,Q6C0P0
YALI0F22935g,Q6C0P3
YALI0F22803g,Q6C0P6
YALI0F22781g,Q6C0P7
YALI0F22605g,Q6C0Q5
YALI0F22363g,Q6C0R6
YALI0F22341g,Q6C0R7
YALI0F22136g,Q6C0S4
YALI0F21967g,Q6C0T2
YALI0F21901g,Q6C0T5
YALI0F21879g,Q6C0T6
YALI0F21857g,Q6C0T7
YALI0F21769g,Q6C0U1
YALI0F21725g,Q6C0U3
YALI0F21659g,Q6C0U6
YALI0F21406g,Q6C0V4
YALI0F21329g,Q6C0V8
YALI0F21307g,Q6C0V9
YALI0F21263g,Q6C0W1
YALI0F21219g,Q6C0W3
YALI0F21153g,Q6C0W6
YALI0F20900g,Q6C0X8
YALI0F20878g,Q6C0X9
YALI0F20834g,Q6C0Y1
YALI0F20768g,Q6C0Y4
YALI0F20702g,Q6C0Y7
YALI0F20658g,Q6C0Y9
YALI0F20350g,Q6C103
YALI0F20328g,Q6C104
YALI0F20284g,Q6C106
YALI0F20240g,Q6C108
YALI0F20218g,Q6C109
YALI0F20174g,Q6C111
YALI0F20108g,Q6C114
YALI0F20020g,Q6C117
YALI0F19976g,Q6C119
YALI0F19778g,Q6C126
YALI0F19668g,Q6C131
YALI0F19602g,Q6C134
YALI0F19558g,Q6C136
YALI0F19514g,Q6C138
YALI0F19470g,Q6C140
YALI0F19426g,Q6C142
YALI0F19404g,Q6C143
YALI0F19382g,Q6C144
YALI0F19360g,Q6C145
YALI0F19272g,Q6C148
YALI0F19250g,Q6C149
YALI0F19228g,Q6C150
YALI0F19184g,Q6C152
YALI0F19074g,Q6C157
YALI0F19052g,Q6C158
YALI0F18788g,Q6C168
YALI0F18722g,Q6C171
YALI0F18700g,Q6C172
YALI0F18634g,Q6C175
YALI0F18612g,Q6C176
YALI0F18524g,Q6C180
YALI0F18502g,Q6C181
YALI0F18480g,Q6C182
YALI0F18414g,Q6C185
YALI0F18216g,Q6C194
YALI0F18106g,Q6C199
YALI0F18084g,Q6C1A0
YALI0F18040g,Q6C1A1
YALI0F17996g,Q6C1A3
YALI0F17886g,Q6C1A6
YALI0F17842g,Q6C1A8
YALI0F17820g,Q6C1A9
YALI0F17710g,Q6C1B4
YALI0F17666g,Q6C1B6
YALI0F17644g,Q6C1B7
YALI0F17622g,Q6C1B8
YALI0F17534g,Q6C1C2
YALI0F17512g,Q6C1C3
YALI0F17490g,Q6C1C4
YALI0F17380g,Q6C1C9
YALI0F17358g,Q6C1D0
YALI0F17314g,Q6C1D2
YALI0F17072g,Q6C1E2
YALI0F17050g,Q6C1E3
YALI0F16940g,Q6C1E8
YALI0F16896g,Q6C1F0
YALI0F16753g,Q6C1F4
YALI0F16665g,Q6C1F8
YALI0F16599g,Q6C1G1
YALI0F16577g,Q6C1G2
YALI0F16489g,Q6C1G4
YALI0F16467g,Q6C1G5
YALI0F16423g,Q6C1G6
YALI0F16401g,Q6C1G7
YALI0F16335g,Q6C1H0
YALI0F16313g,Q6C1H1
YALI0F16291g,Q6C1H2
YALI0F16203g,Q6C1H4
YALI0F16181g,Q6C1H5
YALI0F16027g,Q6C1I2
YALI0F15895g,Q6C1I8
YALI0F15807g,Q6C1J2
YALI0F15785g,Q6C1J3
YALI0F15697g,Q6C1J7
YALI0F15587g,Q6C1K2
YALI0F15389g,Q6C1K7
YALI0F15367g,Q6C1K8
YALI0F15279g,Q6C1L1
YALI0F15191g,Q6C1L5
YALI0F15169g,Q6C1L6
YALI0F15147g,Q6C1L7
YALI0F14861g,Q6C1N0
YALI0F14795g,Q6C1N3
YALI0F14773g,Q6C1N4
YALI0F14729g,Q6C1N6
YALI0F14707g,Q6C1N7
YALI0F14597g,Q6C1P2
YALI0F14553g,Q6C1P4
YALI0F14487g,Q6C1P7
YALI0F14443g,Q6C1P9
YALI0F14421g,Q6C1Q0
YALI0F14355g,Q6C1Q3
YALI0F14223g,Q6C1Q9
YALI0F14135g,Q6C1R3
YALI0F14113g,Q6C1R4
YALI0F14069g,Q6C1R6
YALI0F14047g,Q6C1R7
YALI0F14025g,Q6C1R8
YALI0F13783g,Q6C1S4
YALI0F13519g,Q6C1T5
YALI0F13475g,Q6C1T7
YALI0F13453g,Q6C1T8
YALI0F13409g,Q6C1U0
YALI0F13343g,Q6C1U3
YALI0F13321g,Q6C1U4
YALI0F13277g,Q6C1U6
YALI0F13255g,Q6C1U7
YALI0F13211g,Q6C1U9
YALI0F13123g,Q6C1V4
YALI0F12969g,Q6C1W0
YALI0F12925g,Q6C1W2
YALI0F12815g,Q6C1W7
YALI0F12683g,Q6C1X3
YALI0F12617g,Q6C1X6
YALI0F12463g,Q6C1Y2
YALI0F12353g,Q6C1Y5
YALI0F12331g,Q6C1Y6
YALI0F12199g,Q6C1Z1
YALI0F12155g,Q6C1Z3
YALI0F12089g,Q6C1Z6
YALI0F11935g,Q6C203
YALI0F11869g,Q6C206
YALI0F11825g,Q6C208
YALI0F11803g,Q6C209
YALI0F11759g,Q6C211
YALI0F11627g,Q6C217
YALI0F11583g,Q6C219
YALI0F11561g,Q6C220
YALI0F11517g,Q6C222
YALI0F11473g,Q6C224
YALI0F11231g,Q6C234
YALI0F11033g,Q6C243
YALI0F10923g,Q6C246
YALI0F10703g,Q6C256
YALI0F10659g,Q6C258
YALI0F10549g,Q6C261
YALI0F10541g,Q6C262
YALI0F10505g,Q6C264
YALI0F10307g,Q6C269
YALI0F10197g,Q6C273
YALI0F10010g,Q6C282
YALI0F09966g,Q6C284
YALI0F09856g,Q6C287
YALI0F09834g,Q6C288
YALI0F09790g,Q6C290
YALI0F09768g,Q6C291
YALI0F09669g,Q6C294
YALI0F09405g,Q6C2A7
YALI0F09383g,Q6C2A8
YALI0F09295g,Q6C2B2
YALI0F09251g,Q6C2B4
YALI0F09229g,Q6C2B5
YALI0F09163g,Q6C2B8
YALI0F09009g,Q6C2C5
YALI0F08899g,Q6C2D0
YALI0F08833g,Q6C2D3
YALI0F08789g,Q6C2D5
YALI0F08745g,Q6C2D7
YALI0F08415g,Q6C2F2
YALI0F08283g,Q6C2F8
YALI0F08195g,Q6C2G0
YALI0F08165g,Q6C2G1
YALI0F08151g,Q6C2G2
YALI0F07821g,Q6C2H6
YALI0F07755g,Q6C2H9
YALI0F07733g,Q6C2I0
YALI0F07711g,Q6C2I1
YALI0F07623g,Q6C2I5
YALI0F07601g,Q6C2I6
YALI0F07557g,Q6C2I8
YALI0F07469g,Q6C2J2
YALI0F07381g,Q6C2J4
YALI0F07359g,Q6C2J5
YALI0F07337g,Q6C2J6
YALI0F07040g,Q6C2K8
YALI0F06791g,Q6C2L6
YALI0F06776g,Q6C2L7
YALI0F06754g,Q6C2L8
YALI0F06710g,Q6C2M0
YALI0F06578g,Q6C2M6
YALI0F06512g,Q6C2M9
YALI0F06468g,Q6C2N1
YALI0F06372g,Q6C2N6
YALI0F06314g,Q6C2N9
YALI0F06292g,Q6C2P0
YALI0F06226g,Q6C2P3
YALI0F06182g,Q6C2P5
YALI0F06160g,Q6C2P6
YALI0F06138g,Q6C2P7
YALI0F06116g,Q6C2P8
YALI0F06050g,Q6C2Q1
YALI0F05962g,Q6C2Q5
YALI0F05874g,Q6C2Q9
YALI0F05632g,Q6C2S1
YALI0F05566g,Q6C2S4
YALI0F05544g,Q6C2S5
YALI0F05500g,Q6C2S7
YALI0F05478g,Q6C2S8
YALI0F05434g,Q6C2T0
YALI0F05258g,Q6C2T7
YALI0F05038g,Q6C2U7
YALI0F04796g,Q6C2V5
YALI0F04708g,Q6C2V9
YALI0F04576g,Q6C2W5
YALI0F04532g,Q6C2W7
YALI0F04444g,Q6C2W9
YALI0F04378g,Q6C2X2
YALI0F04356g,Q6C2X3
YALI0F04312g,Q6C2X5
YALI0F04169g,Q6C2Y0
YALI0F04147g,Q6C2Y1
YALI0F04103g,Q6C2Y3
YALI0F04095g,Q6C2Y4
YALI0F04015g,Q6C2Y8
YALI0F03993g,Q6C2Y9
YALI0F03751g,Q6C300
YALI0F03597g,Q6C307
YALI0F03575g,Q6C308
YALI0F03567g,Q6C309
YALI0F03542g,Q6C310
YALI0F03454g,Q6C314
YALI0F03366g,Q6C318
YALI0F03201g,Q6C325
YALI0F03113g,Q6C329
YALI0F03025g,Q6C332
YALI0F02981g,Q6C334
YALI0F02937g,Q6C336
YALI0F02871g,Q6C339
YALI0F02783g,Q6C343
YALI0F02607g,Q6C351
YALI0F02585g,Q6C352
