YALI1,YALI2
YALI1_A09911g,YALI2_A00539g
YALI1_A09939g,YALI2_A00538g
YALI1_A09949g,YALI2_A00157g
YALI1_A10015g,YALI2_A00537g
YALI1_A10022g,YALI2_A00159g
YALI1_A10072g,YALI2_A00160g
YALI1_A10105g,YALI2_A00536g
YALI1_A10143g,YALI2_A00535g
YALI1_A10146g,YALI2_A00161g
YALI1_A10199g,YALI2_A00534g
YALI1_A10254g,YALI2_A00533g
YALI1_A10267g,YALI2_A00162g
YALI1_A10318g,YALI2_A00163g
YALI1_A10365g,YALI2_A00164g
YALI1_A10468g,YALI2_A00532g
YALI1_A10473g,YALI2_A00531g
YALI1_A10510g,YALI2_A00165g
YALI1_A10529g,YALI2_A00530g
YALI1_A10565g,YALI2_A00529g
YALI1_A10619g,YALI2_A00166g
YALI1_A10672g,YALI2_A00526g
YALI1_A10708g,YALI2_A00525g
YALI1_A10784g,YALI2_A00524g
YALI1_A10798g,YALI2_A00167g
YALI1_A10827g,YALI2_A00523g
YALI1_A10857g,YALI2_A00170g
YALI1_A10883g,YALI2_A00522g
YALI1_A10907g,YALI2_A00171g
YALI1_A10934g,YALI2_A00521g
YALI1_A11043g,YALI2_A00520g
YALI1_A11079g,YALI2_A00172g
YALI1_A11114g,YALI2_A00519g
YALI1_A11182g,YALI2_A00173g
YALI1_A11218g,YALI2_A00518g
YALI1_A11231g,YALI2_A00517g
YALI1_A11258g,YALI2_A00516g
YALI1_A11270g,YALI2_A00174g
YALI1_A11355g,YALI2_A00515g
YALI1_A11415g,YALI2_A00514g
YALI1_A11439g,YALI2_A00176g
YALI1_A11500g,YALI2_A00512g
YALI1_A11506g,YALI2_A00177g
YALI1_A11612g,YALI2_A00511g
YALI1_A11654g,YALI2_A00179g
YALI1_A11676g,YALI2_A00510g
YALI1_A11723g,YALI2_A00509g
YALI1_A11797g,YALI2_A00508g
YALI1_A11905g,YALI2_A00181g
YALI1_A11954g,YALI2_A00507g
YALI1_A12037g,YALI2_A00182g
YALI1_A12067g,YALI2_A00183g
YALI1_A12099g,YALI2_A00184g
YALI1_A12167g,YALI2_A00185g
YALI1_A12225g,YALI2_A00506g
YALI1_A12245g,YALI2_A00186g
YALI1_A12284g,YALI2_A00505g
YALI1_A12302g,YALI2_A00187g
YALI1_A12356g,YALI2_A00504g
YALI1_A12403g,YALI2_A00503g
YALI1_A12411g,YALI2_A00188g
YALI1_A12437g,YALI2_A00502g
YALI1_A12465g,YALI2_A00189g
YALI1_A12475g,YALI2_A00190g
YALI1_A12502g,YALI2_A00191g
YALI1_A12540g,YALI2_A00192g
YALI1_A12601g,YALI2_A00193g
YALI1_A12617g,YALI2_A00501g
YALI1_A12638g,YALI2_A00194g
YALI1_A12688g,YALI2_A00195g
YALI1_A12729g,YALI2_A00196g
YALI1_A12756g,YALI2_A00197g
YALI1_A12772g,YALI2_A00500g
YALI1_A12852g,YALI2_A00198g
YALI1_A12929g,YALI2_A00199g
YALI1_A12989g,YALI2_A00497g
YALI1_A13019g,YALI2_A00200g
YALI1_A13041g,YALI2_A00496g
YALI1_A13046g,YALI2_A00201g
YALI1_A13095g,YALI2_A00495g
YALI1_A13100g,YALI2_A00202g
YALI1_A13200g,YALI2_A00494g
YALI1_A13287g,YALI2_A00204g
YALI1_A13334g,YALI2_A00207g
YALI1_A13349g,YALI2_A00208g
YALI1_A13383g,YALI2_A00493g
YALI1_A13412g,YALI2_A00209g
YALI1_A13454g,YALI2_A00210g
YALI1_A13508g,YALI2_A00492g
YALI1_A13555g,YALI2_A00491g
YALI1_A13566g,YALI2_A00211g
YALI1_A13596g,YALI2_A00212g
YALI1_A13649g,YALI2_A00213g
YALI1_A13682g,YALI2_A00214g
YALI1_A13713g,YALI2_A00490g
YALI1_A13737g,YALI2_A00489g
YALI1_A13775g,YALI2_A00215g
YALI1_A13877g,YALI2_A00217g
YALI1_A13962g,YALI2_A00218g
YALI1_A13994g,YALI2_A00488g
YALI1_A14024g,YALI2_A00220g
YALI1_A14079g,YALI2_A00487g
YALI1_A14099g,YALI2_A00221g
YALI1_A14162g,YALI2_A00486g
YALI1_A14189g,YALI2_A00485g
YALI1_A14199g,YALI2_A00222g
YALI1_A14228g,YALI2_A00484g
YALI1_A14259g,YALI2_A00483g
YALI1_A14287g,YALI2_A00223g
YALI1_A14305g,YALI2_A00224g
YALI1_A14345g,YALI2_A00225g
YALI1_A14368g,YALI2_A00226g
YALI1_A14390g,YALI2_A00227g
YALI1_A14513g,YALI2_A00228g
YALI1_A14568g,YALI2_A00482g
YALI1_A14658g,YALI2_A00481g
YALI1_A14670g,YALI2_A00229g
YALI1_A14703g,YALI2_A00230g
YALI1_A14721g,YALI2_A00480g
YALI1_A14736g,YALI2_A00231g
YALI1_A14783g,YALI2_A00232g
YALI1_A14826g,YALI2_A00233g
YALI1_A14882g,YALI2_A00234g
YALI1_A14922g,YALI2_A00478g
YALI1_A15045g,YALI2_A00235g
YALI1_A15053g,YALI2_A00236g
YALI1_A15073g,YALI2_A00476g
YALI1_A15079g,YALI2_A00237g
YALI1_A15105g,YALI2_A00238g
YALI1_A15132g,YALI2_A00239g
YALI1_A15227g,YALI2_A00240g
YALI1_A15274g,YALI2_A00241g
YALI1_A15311g,YALI2_A00474g
YALI1_A15349g,YALI2_A00473g
YALI1_A15414g,YALI2_A00242g
YALI1_A15461g,YALI2_A00471g
YALI1_A15482g,YALI2_A00470g
YALI1_A15497g,YALI2_A00469g
YALI1_A15507g,YALI2_A00468g
YALI1_A15515g,YALI2_A00243g
YALI1_A15528g,YALI2_A00244g
YALI1_A15544g,YALI2_A00245g
YALI1_A15584g,YALI2_A00467g
YALI1_A15624g,YALI2_A00466g
YALI1_A15720g,YALI2_A00465g
YALI1_A15722g,YALI2_A00246g
YALI1_A15766g,YALI2_A00247g
YALI1_A15784g,YALI2_A00464g
YALI1_A15813g,YALI2_A00463g
YALI1_A15846g,YALI2_A00248g
YALI1_A15863g,YALI2_A00249g
YALI1_A15879g,YALI2_A00250g
YALI1_A15925g,YALI2_A00251g
YALI1_A15978g,YALI2_A00462g
YALI1_A16004g,YALI2_A00252g
YALI1_A16028g,YALI2_A00461g
YALI1_A16095g,YALI2_A00459g
YALI1_A16121g,YALI2_A00458g
YALI1_A16178g,YALI2_A00457g
