,#proteinId,kogid,kogdefline,kogClass,kogGroup,definition,catalyticActivity,pathway,pathway_class,pathway_type,ecNum,cofactors,gotermId,gotermType,goName,goAcc
20,46,['KOG2474'],['Zinc transporter and related ZIP domain-containing proteins'],['Inorganic ion transport and metabolism '],['METABOLISM'],,,,,,,,"[9320, 12906, 21296]","['cellular_component', 'biological_process', 'molecular_function']","['membrane', 'metal ion transport', 'metal ion transmembrane transporter activity']","['GO:0016020', 'GO:0030001', 'GO:0046873']"
21,48,['KOG0202'],['Ca2+ transporting ATPase'],['Inorganic ion transport and metabolism '],['METABOLISM'],['Calcium-transporting ATPase.'],['ATP + H(2)O + Ca(2+)(Cis) = ADP + phosphate + Ca(2+)(Trans).'],['\\N'],['\\N'],['\\N'],['3.6.3.8'],['Magnesium.'],"[3736, 4927, 8976, 9320, 4929, 9321, 10015, 3670]","['molecular_function', 'biological_process', 'molecular_function', 'cellular_component', 'biological_process', 'cellular_component', 'molecular_function', 'molecular_function']","['ATP binding', 'transport', 'ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism', 'membrane', 'cation transport', 'integral to membrane', 'hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances', 'calcium-transporting ATPase activity']","['GO:0005524', 'GO:0006810', 'GO:0015662', 'GO:0016020', 'GO:0006812', 'GO:0016021', 'GO:0016820', 'GO:0005388']"
22,51,['KOG1618'],['Predicted phosphatase'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[5830, 9985]","['biological_process', 'molecular_function']","['metabolic process', 'hydrolase activity']","['GO:0008152', 'GO:0016787']"
23,52,,,,,,,,,,,,"[5939, 4598]","['molecular_function', 'biological_process']","['zinc ion binding', 'protein modification process']","['GO:0008270', 'GO:0006464']"
24,55,['KOG1527'],['Uroporphyrin III methyltransferase'],['Coenzyme transport and metabolism '],['METABOLISM'],['Uroporphyrin-III C-methyltransferase.'],['2 S-adenosyl-L-methionine + uroporphyrin III = 2 S-adenosyl-L- homocysteine + sirohydrochlorin.'],['Porphyrin and chlorophyll metabolism'],['Metabolism of Cofactors and Vitamins'],['METABOLIC'],['2.1.1.107'],['\\N'],"[5830, 5846, 4896, 3209, 11620]","['biological_process', 'molecular_function', 'biological_process', 'molecular_function', 'biological_process']","['metabolic process', 'methyltransferase activity', 'porphyrin biosynthetic process', 'uroporphyrin-III C-methyltransferase activity', 'siroheme biosynthetic process']","['GO:0008152', 'GO:0008168', 'GO:0006779', 'GO:0004851', 'GO:0019354']"
25,56,,,,,,,,,,,,"[3387, 9320]","['molecular_function', 'cellular_component']","['scavenger receptor activity', 'membrane']","['GO:0005044', 'GO:0016020']"
26,57,,,,,,,,,,,,"[6419, 13507, 21106]","['molecular_function', 'biological_process', 'biological_process']","['beta-lactamase activity', 'beta-lactam antibiotic catabolic process', 'response to antibiotic']","['GO:0008800', 'GO:0030655', 'GO:0046677']"
27,59,['KOG0264'],"['Nucleosome remodeling factor, subunit CAF1/NURF55/MSI1']",['Chromatin structure and dynamics '],['INFORMATION STORAGE AND PROCESSING'],['Ubiquitin--protein ligase.'],['ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.'],['\\N'],['\\N'],['\\N'],['6.3.2.19'],['\\N'],"[3200, 24685, 24687, 24690, 24691]","['molecular_function', 'biological_process', 'biological_process', 'biological_process', 'biological_process']","['ubiquitin-protein ligase activity', 'regulation of ubiquitin-protein ligase activity', 'regulation of ubiquitin-protein ligase activity during meiotic cell cycle', 'positive regulation of ubiquitin-protein ligase activity', 'negative regulation of ubiquitin-protein ligase activity']","['GO:0004842', 'GO:0051438', 'GO:0051440', 'GO:0051443', 'GO:0051444']"
28,62,['KOG0481'],"['DNA replication licensing factor, MCM5 component']","['Replication, recombination and repair ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[2176, 3736, 4429, 5778]","['molecular_function', 'molecular_function', 'biological_process', 'molecular_function']","['DNA binding', 'ATP binding', 'DNA replication initiation', 'DNA-dependent ATPase activity']","['GO:0003677', 'GO:0005524', 'GO:0006270', 'GO:0008094']"
29,63,"['KOG3265', 'KOG3265']","['Histone chaperone involved in gene silencing', 'Histone chaperone involved in gene silencing']","['Chromatin structure and dynamics ', 'Transcription ']","['INFORMATION STORAGE AND PROCESSING', 'INFORMATION STORAGE AND PROCESSING']",,,,,,,,"[3838, 4483]","['cellular_component', 'biological_process']","['nucleus', 'chromatin assembly or disassembly']","['GO:0005634', 'GO:0006333']"
