,#proteinId,kogid,kogdefline,kogClass,kogGroup,definition,catalyticActivity,pathway,pathway_class,pathway_type,ecNum,cofactors,gotermId,gotermType,goName,goAcc
2918,5112,['KOG2250'],['Glutamate/leucine/phenylalanine/valine dehydrogenases'],['Amino acid transport and metabolism '],['METABOLISM'],"['Glutamate dehydrogenase.', 'Glutamate dehydrogenase.']","['L-glutamate + H(2)O + NAD(+) = 2-oxoglutarate + NH(3) + NADH.', 'L-glutamate + H(2)O + NAD(+) = 2-oxoglutarate + NH(3) + NADH.']","['Nitrogen metabolism', 'Glutamate metabolism']","['Energy Metabolism', 'Amino Acid Metabolism']","['METABOLIC', 'METABOLIC']","['1.4.1.2', '1.4.1.2']","['\\N', '\\N']","[4650, 9710, 2758]","['biological_process', 'molecular_function', 'molecular_function']","['amino acid metabolic process', 'oxidoreductase activity', 'glutamate dehydrogenase activity']","['GO:0006520', 'GO:0016491', 'GO:0004352']"
2919,5118,['KOG3419'],['Mitochondrial/chloroplast ribosomal protein S16'],"['Translation, ribosomal structure and biogenesis ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[2227, 3827, 4025, 4556]","['molecular_function', 'cellular_component', 'cellular_component', 'biological_process']","['structural constituent of ribosome', 'intracellular', 'ribosome', 'translation']","['GO:0003735', 'GO:0005622', 'GO:0005840', 'GO:0006412']"
2920,5124,['KOG1208'],['Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)'],"['Secondary metabolites biosynthesis, transport and catabolism ']",['METABOLISM'],['Protochlorophyllide reductase.'],['Chlorophyllide A + NADP(+) = protochlorophyllide + NADPH.'],['Porphyrin and chlorophyll metabolism'],['Metabolism of Cofactors and Vitamins'],['METABOLIC'],['1.3.1.33'],['\\N'],"[5830, 9710, 9837]","['biological_process', 'molecular_function', 'molecular_function']","['metabolic process', 'oxidoreductase activity', 'protochlorophyllide reductase activity']","['GO:0008152', 'GO:0016491', 'GO:0016630']"
2921,5126,['KOG2721'],['Uncharacterized conserved protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
2922,5127,['KOG0216'],"['RNA polymerase I, second largest subunit']",['Transcription '],['INFORMATION STORAGE AND PROCESSING'],"['DNA-directed RNA polymerase.', 'DNA-directed RNA polymerase.', 'DNA-directed RNA polymerase.']","['N nucleoside triphosphate = N diphosphate + {RNA}(N).', 'N nucleoside triphosphate = N diphosphate + {RNA}(N).', 'N nucleoside triphosphate = N diphosphate + {RNA}(N).']","['  RNA polymerase', 'Purine metabolism', 'Pyrimidine metabolism']","['TRANSCRIPTION', 'Nucleotide Metabolism', 'Nucleotide Metabolism']","['REGULATORY', 'METABOLIC', 'METABOLIC']","['2.7.7.6', '2.7.7.6', '2.7.7.6']","['\\N', '\\N', '\\N']","[2176, 2356, 4499, 3838, 2357, 2358, 2359, 16888]","['molecular_function', 'molecular_function', 'biological_process', 'cellular_component', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['DNA binding', 'DNA-directed RNA polymerase activity', 'transcription', 'nucleus', 'DNA-directed RNA polymerase I activity', 'DNA-directed RNA polymerase II activity', 'DNA-directed RNA polymerase III activity', 'RNA polymerase activity']","['GO:0003677', 'GO:0003899', 'GO:0006350', 'GO:0005634', 'GO:0003900', 'GO:0003901', 'GO:0003902', 'GO:0034062']"
2923,5128,['KOG3596'],['Uncharacterized conserved protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
2924,5129,['KOG0120'],"['Splicing factor U2AF, large subunit (RRM superfamily)']",['RNA processing and modification  '],['INFORMATION STORAGE AND PROCESSING'],,,,,,,,[2175],['molecular_function'],['nucleic acid binding'],['GO:0003676']
2925,5131,['KOG2058'],['Ypt/Rab GTPase activating protein'],"['Intracellular trafficking, secretion, and vesicular transport ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[3433, 3827, 15148]","['molecular_function', 'cellular_component', 'biological_process']","['Rab GTPase activator activity', 'intracellular', 'regulation of Rab GTPase activity']","['GO:0005097', 'GO:0005622', 'GO:0032313']"
2926,5132,['KOG2189'],"['Vacuolar H+-ATPase V0 sector, subunit a']",['Energy production and conversion '],['METABOLISM'],,,,,,,,"[9298, 9320]","['biological_process', 'cellular_component']","['proton transport', 'membrane']","['GO:0015992', 'GO:0016020']"
2927,5134,,,,,,,,,,,,"[5765, 5830]","['molecular_function', 'biological_process']","['N-acetyltransferase activity', 'metabolic process']","['GO:0008080', 'GO:0008152']"
2928,5135,,,,,,,,,,,,"[5765, 5830]","['molecular_function', 'biological_process']","['N-acetyltransferase activity', 'metabolic process']","['GO:0008080', 'GO:0008152']"
2929,5136,"['KOG1183', 'KOG1183']","['N-acetylglucosaminyltransferase complex, subunit PIG-Q/GPI1, required for phosphatidylinositol biosynthesis', 'N-acetylglucosaminyltransferase complex, subunit PIG-Q/GPI1, required for phosphatidylinositol biosynthesis']","['Cell wall/membrane/envelope biogenesis ', 'Posttranslational modification, protein turnover, chaperones ']","['CELLULAR PROCESSES AND SIGNALING', 'CELLULAR PROCESSES AND SIGNALING']",,,,,,,,"[4637, 9321, 10330]","['biological_process', 'cellular_component', 'molecular_function']","['GPI anchor biosynthetic process', 'integral to membrane', 'phosphatidylinositol N-acetylglucosaminyltransferase activity']","['GO:0006506', 'GO:0016021', 'GO:0017176']"
2930,5137,,,,,,,,,,,,[11979],['biological_process'],['calcium-mediated signaling'],['GO:0019722']
2931,5138,['KOG2540'],['Cytochrome oxidase assembly factor COX11'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,[3722],['molecular_function'],['copper ion binding'],['GO:0005507']
2932,5139,,,,,,,,,,,,"[3228, 5250, 2196, 3838, 4504, 5939]","['molecular_function', 'biological_process', 'molecular_function', 'cellular_component', 'biological_process', 'molecular_function']","['signal transducer activity', 'signal transduction', 'transcription factor activity', 'nucleus', 'regulation of transcription, DNA-dependent', 'zinc ion binding']","['GO:0004871', 'GO:0007165', 'GO:0003700', 'GO:0005634', 'GO:0006355', 'GO:0008270']"
2933,5140,['KOG1685'],['Uncharacterized conserved protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
2934,5141,['KOG3214'],['Uncharacterized Zn ribbon-containing protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
2935,5142,['KOG4077'],"['Cytochrome c oxidase, subunit Va/COX6']",['Energy production and conversion '],['METABOLISM'],,,,,,,,"[2567, 4283]","['molecular_function', 'biological_process']","['cytochrome-c oxidase activity', 'electron transport']","['GO:0004129', 'GO:0006118']"
2936,5147,['KOG1339'],['Aspartyl protease'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],['Yapsin 1.'],"['Hydrolyzes various precursor proteins with Arg or Lys in P1, and commonly Arg or Lys also in P2. The P3 amino acid is usually non- polar, but otherwise additional basic amino acids are favorable in both non-prime and prime positions.']",['\\N'],['\\N'],['\\N'],['3.4.23.41'],['\\N'],"[2632, 4639, 2628]","['molecular_function', 'biological_process', 'molecular_function']","['pepsin A activity', 'proteolysis', 'aspartic-type endopeptidase activity']","['GO:0004194', 'GO:0006508', 'GO:0004190']"
2937,5150,['KOG1286'],['Amino acid transporters'],['Amino acid transport and metabolism '],['METABOLISM'],,,,,,,,"[4977, 8535, 9320, 9321, 4927]","['biological_process', 'molecular_function', 'cellular_component', 'cellular_component', 'biological_process']","['amino acid transport', 'amino acid transmembrane transporter activity', 'membrane', 'integral to membrane', 'transport']","['GO:0006865', 'GO:0015171', 'GO:0016020', 'GO:0016021', 'GO:0006810']"
2938,5152,['KOG0712'],['Molecular chaperone (DnaJ superfamily)'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[4591, 13917, 24336]","['biological_process', 'molecular_function', 'molecular_function']","['protein folding', 'heat shock protein binding', 'unfolded protein binding']","['GO:0006457', 'GO:0031072', 'GO:0051082']"
2939,5153,['KOG2530'],['Members of tubulin/FtsZ family'],['Cytoskeleton '],['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[18722, 24507]","['cellular_component', 'biological_process']","['protein complex', 'protein polymerization']","['GO:0043234', 'GO:0051258']"
2940,5154,['KOG1250'],['Threonine/serine dehydratases'],['Amino acid transport and metabolism '],['METABOLISM'],,,,,,,,"[4650, 13063, 2290, 5830]","['biological_process', 'molecular_function', 'molecular_function', 'biological_process']","['amino acid metabolic process', 'pyridoxal phosphate binding', 'catalytic activity', 'metabolic process']","['GO:0006520', 'GO:0030170', 'GO:0003824', 'GO:0008152']"
2941,5157,['KOG2695'],['WD40 repeat protein'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,,,,
2942,5159,['KOG2049'],['Translational repressor MPT5/PUF4 and related RNA-binding proteins (Puf superfamily)'],"['Translation, ribosomal structure and biogenesis ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[2216, 3708]","['molecular_function', 'molecular_function']","['RNA binding', 'binding']","['GO:0003723', 'GO:0005488']"
2943,5161,['KOG1075'],['FOG: Reverse transcriptase'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[2216, 2417, 4437]","['molecular_function', 'molecular_function', 'biological_process']","['RNA binding', 'RNA-directed DNA polymerase activity', 'RNA-dependent DNA replication']","['GO:0003723', 'GO:0003964', 'GO:0006278']"
2944,5162,['KOG2571'],['Chitin synthase/hyaluronan synthase (glycosyltransferases)'],['Cell wall/membrane/envelope biogenesis '],['CELLULAR PROCESSES AND SIGNALING'],['Chitin synthase.'],"['UDP-N-acetyl-D-glucosamine + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N) = UDP + {(1,4)-(N-acetyl-beta-D-glucosaminyl)}(N+1).']",['Aminosugars metabolism'],['Metabolism of Complex Carbohydrates'],['METABOLIC'],['2.4.1.16'],['\\N'],"[12251, 21336, 2540]","['molecular_function', 'molecular_function', 'molecular_function']","['heme binding', 'transition metal ion binding', 'chitin synthase activity']","['GO:0020037', 'GO:0046914', 'GO:0004100']"
2945,5163,['KOG3117'],['Protein involved in rRNA processing'],['RNA processing and modification  '],['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[4513, 14875]","['biological_process', 'cellular_component']","['rRNA processing', 'small subunit processome']","['GO:0006364', 'GO:0032040']"
2946,5164,['KOG3163'],['Uncharacterized conserved protein related to ribosomal protein S8E'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,,,,
2947,5165,['KOG0255'],['Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily)'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,,,,
2948,5170,['KOG2672'],['Lipoate synthase'],['Coenzyme transport and metabolism '],['METABOLISM'],,,,,,,,"[6715, 10160, 2290, 24783]","['biological_process', 'molecular_function', 'molecular_function', 'molecular_function']","['lipoate biosynthetic process', 'lipoate synthase activity', 'catalytic activity', 'iron-sulfur cluster binding']","['GO:0009107', 'GO:0016992', 'GO:0003824', 'GO:0051536']"
2949,5173,['KOG1304'],['Amino acid transporters'],['Amino acid transport and metabolism '],['METABOLISM'],,,,,,,,,,,
2950,5174,['KOG1516'],['Carboxylesterase and related proteins'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,,,,
2951,5175,,,,,,,,,,,,"[2196, 3838, 4504, 5939, 2176, 4499]","['molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'molecular_function', 'biological_process']","['transcription factor activity', 'nucleus', 'regulation of transcription, DNA-dependent', 'zinc ion binding', 'DNA binding', 'transcription']","['GO:0003700', 'GO:0005634', 'GO:0006355', 'GO:0008270', 'GO:0003677', 'GO:0006350']"
2952,5176,['KOG3752'],['Ribonuclease H'],"['Replication, recombination and repair ']",['INFORMATION STORAGE AND PROCESSING'],['Ribonuclease H.'],"[""Endonucleolytic cleavage to 5'-phosphomonoester.""]",['\\N'],['\\N'],['\\N'],['3.1.26.4'],['\\N'],"[2175, 2914]","['molecular_function', 'molecular_function']","['nucleic acid binding', 'ribonuclease H activity']","['GO:0003676', 'GO:0004523']"
2953,5178,['KOG0989'],"['Replication factor C, subunit RFC4']","['Replication, recombination and repair ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[162, 10269, 3736, 2176, 3838, 4421, 2187, 3862]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'cellular_component']","['nucleotide binding', 'nucleoside-triphosphatase activity', 'ATP binding', 'DNA binding', 'nucleus', 'DNA replication', 'DNA clamp loader activity', 'DNA replication factor C complex']","['GO:0000166', 'GO:0017111', 'GO:0005524', 'GO:0003677', 'GO:0005634', 'GO:0006260', 'GO:0003689', 'GO:0005663']"
2954,5179,['KOG1978'],['DNA mismatch repair protein - MLH2/PMS1/Pms2 family'],"['Replication, recombination and repair ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[3736, 4457, 13828]","['molecular_function', 'biological_process', 'molecular_function']","['ATP binding', 'mismatch repair', 'mismatched DNA binding']","['GO:0005524', 'GO:0006298', 'GO:0030983']"
2955,5180,['KOG3186'],['Mitotic spindle checkpoint protein'],"['Cell cycle control, cell division, chromosome partitioning ']",['METABOLISM'],"['DNA-directed DNA polymerase.', 'DNA-directed DNA polymerase.', 'DNA-directed DNA polymerase.']","['N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).', 'N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).', 'N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).']","['Purine metabolism', '  DNA polymerase', 'Pyrimidine metabolism']","['Nucleotide Metabolism', 'REPLICATION AND REPAIR', 'Nucleotide Metabolism']","['METABOLIC', 'REGULATORY', 'METABOLIC']","['2.7.7.7', '2.7.7.7', '2.7.7.7']","['\\N', '\\N', '\\N']","[5160, 2353, 16887]","['biological_process', 'molecular_function', 'molecular_function']","['mitosis', 'DNA-directed DNA polymerase activity', 'DNA polymerase activity']","['GO:0007067', 'GO:0003887', 'GO:0034061']"
2956,5181,['KOG0036'],['Predicted mitochondrial carrier protein'],['Nucleotide transport and metabolism '],['METABOLISM'],,,,,,,,[3724],['molecular_function'],['calcium ion binding'],['GO:0005509']
2957,5183,['KOG3380'],"['Actin-related protein Arp2/3 complex, subunit ARPC5']",['Cytoskeleton '],['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[4037, 13683]","['cellular_component', 'biological_process']","['cytoskeleton', 'regulation of actin filament polymerization']","['GO:0005856', 'GO:0030833']"
2958,5184,['KOG0247'],['Kinesin-like protein'],['Cytoskeleton '],['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,"[2244, 3736, 4051, 5113]","['molecular_function', 'molecular_function', 'cellular_component', 'biological_process']","['microtubule motor activity', 'ATP binding', 'microtubule associated complex', 'microtubule-based movement']","['GO:0003777', 'GO:0005524', 'GO:0005875', 'GO:0007018']"
2959,5185,['KOG0864'],['Ran-binding protein RANBP1 and related RanBD domain proteins'],"['Intracellular trafficking, secretion, and vesicular transport ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,[21330],['biological_process'],['intracellular transport'],['GO:0046907']
2960,5186,['KOG1271'],['Methyltransferases'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,,,,
2961,5187,['KOG0113'],['U1 small nuclear ribonucleoprotein (RRM superfamily)'],['RNA processing and modification  '],['INFORMATION STORAGE AND PROCESSING'],,,,,,,,[2175],['molecular_function'],['nucleic acid binding'],['GO:0003676']
2962,5188,['KOG3363'],['Uncharacterized conserved nuclear protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
2963,5189,['KOG3445'],['Mitochondrial/chloroplast ribosomal protein 36a'],"['Translation, ribosomal structure and biogenesis ']",['INFORMATION STORAGE AND PROCESSING'],,,,,,,,,,,
2964,5190,['KOG0670'],['U4/U6-associated splicing factor PRP4'],['RNA processing and modification  '],['INFORMATION STORAGE AND PROCESSING'],,,,,,,,"[3043, 3736, 4602, 3045, 3052]","['molecular_function', 'molecular_function', 'biological_process', 'molecular_function', 'molecular_function']","['protein kinase activity', 'ATP binding', 'protein amino acid phosphorylation', 'protein serine/threonine kinase activity', 'protein kinase CK2 activity']","['GO:0004672', 'GO:0005524', 'GO:0006468', 'GO:0004674', 'GO:0004682']"
2965,5192,['KOG1390'],['Acetyl-CoA acetyltransferase'],['Lipid transport and metabolism '],['METABOLISM'],"['Acetyl-CoA C-acetyltransferase.', 'Acetyl-CoA C-acetyltransferase.', 'Acetyl-CoA C-acetyltransferase.', 'Acetyl-CoA C-acetyltransferase.', 'Acetyl-CoA C-acetyltransferase.', 'Acetyl-CoA C-acetyltransferase.', 'Acetyl-CoA C-acetyltransferase.', 'Acetyl-CoA C-acetyltransferase.', 'Acetyl-CoA C-acetyltransferase.']","['2 acetyl-CoA = CoA + acetoacetyl-CoA.', '2 acetyl-CoA = CoA + acetoacetyl-CoA.', '2 acetyl-CoA = CoA + acetoacetyl-CoA.', '2 acetyl-CoA = CoA + acetoacetyl-CoA.', '2 acetyl-CoA = CoA + acetoacetyl-CoA.', '2 acetyl-CoA = CoA + acetoacetyl-CoA.', '2 acetyl-CoA = CoA + acetoacetyl-CoA.', '2 acetyl-CoA = CoA + acetoacetyl-CoA.', '2 acetyl-CoA = CoA + acetoacetyl-CoA.']","['Fatty acid biosynthesis (path 2)', 'Tryptophan metabolism', 'Benzoate degradation via CoA ligation', 'Propanoate metabolism', 'Fatty acid metabolism', 'Synthesis and degradation of ketone bodies', 'Butanoate metabolism', 'Pyruvate metabolism', 'Lysine degradation']","['Lipid Metabolism', 'Amino Acid Metabolism', 'Biodegradation of Xenobiotics', 'Carbohydrate Metabolism', 'Lipid Metabolism', 'Lipid Metabolism', 'Carbohydrate Metabolism', 'Carbohydrate Metabolism', 'Amino Acid Metabolism']","['METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC']","['2.3.1.9', '2.3.1.9', '2.3.1.9', '2.3.1.9', '2.3.1.9', '2.3.1.9', '2.3.1.9', '2.3.1.9', '2.3.1.9']","['\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N']","[2290, 5830, 2433]","['molecular_function', 'biological_process', 'molecular_function']","['catalytic activity', 'metabolic process', 'acetyl-CoA C-acetyltransferase activity']","['GO:0003824', 'GO:0008152', 'GO:0003985']"
2966,5196,['KOG2866'],['Uncharacterized conserved protein'],['Function unknown '],['POORLY CHARACTERIZED'],,,,,,,,,,,
2967,5197,['KOG0691'],['Molecular chaperone (DnaJ superfamily)'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],,,,,,,,[13917],['molecular_function'],['heat shock protein binding'],['GO:0031072']
2968,5201,['KOG2454'],['Betaine aldehyde dehydrogenase'],['Energy production and conversion '],['METABOLISM'],"['Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).', 'Aldehyde dehydrogenase (NAD+).']","['An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.', 'An aldehyde + NAD(+) + H(2)O = an acid + NADH.']","['1,2-Dichloroethane degradation', 'Tryptophan metabolism', 'Glycerolipid metabolism', 'Valine, leucine and isoleucine degradation', 'Glycolysis / Gluconeogenesis', 'Propanoate metabolism', 'Fatty acid metabolism', 'Bile acid biosynthesis', 'Arginine and proline metabolism', 'Butanoate metabolism', 'beta-Alanine metabolism', 'Pyruvate metabolism', 'Histidine metabolism', 'Lysine degradation', 'Ascorbate and aldarate metabolism']","['Biodegradation of Xenobiotics', 'Amino Acid Metabolism', 'Metabolism of Complex Lipids', 'Amino Acid Metabolism', 'Carbohydrate Metabolism', 'Carbohydrate Metabolism', 'Lipid Metabolism', 'Lipid Metabolism', 'Amino Acid Metabolism', 'Carbohydrate Metabolism', 'Metabolism of Other Amino Acids', 'Carbohydrate Metabolism', 'Amino Acid Metabolism', 'Amino Acid Metabolism', 'Carbohydrate Metabolism']","['METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC', 'METABOLIC']","['1.2.1.3', '1.2.1.3', '1.2.1.3', '1.2.1.3', '1.2.1.3', '1.2.1.3', '1.2.1.3', '1.2.1.3', '1.2.1.3', '1.2.1.3', '1.2.1.3', '1.2.1.3', '1.2.1.3', '1.2.1.3', '1.2.1.3']","['\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N', '\\N']","[5830, 9710, 2473]","['biological_process', 'molecular_function', 'molecular_function']","['metabolic process', 'oxidoreductase activity', 'aldehyde dehydrogenase (NAD) activity']","['GO:0008152', 'GO:0016491', 'GO:0004029']"
2969,5202,['KOG2454'],['Betaine aldehyde dehydrogenase'],['Energy production and conversion '],['METABOLISM'],,,,,,,,,,,
2970,5203,['KOG2858'],['Uncharacterized conserved protein'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,,,,
2971,5204,,,,,,,,,,,,[4896],['biological_process'],['porphyrin biosynthetic process'],['GO:0006779']
2972,5205,['KOG1399'],['Flavin-containing monooxygenase'],"['Secondary metabolites biosynthesis, transport and catabolism ']",['METABOLISM'],['Cyclohexanone monooxygenase.'],['Cyclohexanone + NADPH + O(2) = 6-hexanolide + NADP(+) + H(2)O.'],['Caprolactam degradation'],['Biodegradation of Xenobiotics'],['METABOLIC'],['1.14.13.22'],['FAD.'],[10973],['molecular_function'],['cyclohexanone monooxygenase activity'],['GO:0018667']
2973,5207,['KOG1399'],['Flavin-containing monooxygenase'],"['Secondary metabolites biosynthesis, transport and catabolism ']",['METABOLISM'],['Cyclohexanone monooxygenase.'],['Cyclohexanone + NADPH + O(2) = 6-hexanolide + NADP(+) + H(2)O.'],['Caprolactam degradation'],['Biodegradation of Xenobiotics'],['METABOLIC'],['1.14.13.22'],['FAD.'],[10973],['molecular_function'],['cyclohexanone monooxygenase activity'],['GO:0018667']
2974,5208,,,,,,,,,,,,[5053],['biological_process'],['response to stress'],['GO:0006950']
2975,5209,,,,,,,,,,,,"[4930, 8446, 9320]","['biological_process', 'molecular_function', 'cellular_component']","['potassium ion transport', 'potassium ion transmembrane transporter activity', 'membrane']","['GO:0006813', 'GO:0015079', 'GO:0016020']"
2976,5210,['KOG1096'],['Adenosine monophosphate deaminase'],['Nucleotide transport and metabolism '],['METABOLISM'],['AMP deaminase.'],['AMP + H(2)O = IMP + NH(3).'],['Purine metabolism'],['Nucleotide Metabolism'],['METABOLIC'],['3.5.4.6'],['\\N'],"[6773, 11509, 2342]","['biological_process', 'molecular_function', 'molecular_function']","['purine ribonucleoside monophosphate biosynthetic process', 'deaminase activity', 'AMP deaminase activity']","['GO:0009168', 'GO:0019239', 'GO:0003876']"
2977,5214,['KOG4569'],['Predicted lipase'],['Lipid transport and metabolism '],['METABOLISM'],['Triacylglycerol lipase.'],['Triacylglycerol + H(2)O = diacylglycerol + a fatty acid anion.'],['Glycerolipid metabolism'],['Metabolism of Complex Lipids'],['METABOLIC'],['3.1.1.3'],['\\N'],"[3166, 4758]","['molecular_function', 'biological_process']","['triacylglycerol lipase activity', 'lipid metabolic process']","['GO:0004806', 'GO:0006629']"
2978,5217,"['KOG0082', 'KOG0082']","['G-protein alpha subunit (small G protein superfamily)', 'G-protein alpha subunit (small G protein superfamily)']","['Cell cycle control, cell division, chromosome partitioning ', 'Signal transduction mechanisms ']","['METABOLISM', 'CELLULAR PROCESSES AND SIGNALING']",,,,,,,,"[3228, 5270, 11290, 5250]","['molecular_function', 'biological_process', 'molecular_function', 'biological_process']","['signal transducer activity', 'G-protein coupled receptor protein signaling pathway', 'guanyl nucleotide binding', 'signal transduction']","['GO:0004871', 'GO:0007186', 'GO:0019001', 'GO:0007165']"
2979,5219,['KOG3147'],['6-phosphogluconolactonase - like protein'],['Carbohydrate transport and metabolism '],['METABOLISM'],['6-phosphogluconolactonase.'],"['6-phospho-D-glucono-1,5-lactone + H(2)O = 6-phospho-D-gluconate.']",['Pentose phosphate pathway'],['Carbohydrate Metabolism'],['METABOLIC'],['3.1.1.31'],['\\N'],"[4263, 10220, 4143]","['biological_process', 'molecular_function', 'biological_process']","['pentose-phosphate shunt', '6-phosphogluconolactonase activity', 'carbohydrate metabolic process']","['GO:0006098', 'GO:0017057', 'GO:0005975']"
2980,5220,,,,,,,,,,,,"[2196, 3838, 4504, 19030, 21401]","['molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'molecular_function']","['transcription factor activity', 'nucleus', 'regulation of transcription, DNA-dependent', 'sequence-specific DNA binding', 'protein dimerization activity']","['GO:0003700', 'GO:0005634', 'GO:0006355', 'GO:0043565', 'GO:0046983']"
2981,5221,['KOG1339'],['Aspartyl protease'],"['Posttranslational modification, protein turnover, chaperones ']",['CELLULAR PROCESSES AND SIGNALING'],['Barrierpepsin.'],['Selected cleavage of 6-Leu-|-Lys-7 bond in the pheromone alpha-mating factor.'],['\\N'],['\\N'],['\\N'],['3.4.23.35'],['\\N'],"[2632, 4639, 2629]","['molecular_function', 'biological_process', 'molecular_function']","['pepsin A activity', 'proteolysis', 'barrierpepsin activity']","['GO:0004194', 'GO:0006508', 'GO:0004191']"
2982,5222,,,,,,,,,,,,"[3727, 5939]","['molecular_function', 'molecular_function']","['protein binding', 'zinc ion binding']","['GO:0005515', 'GO:0008270']"
2983,5223,['KOG0075'],['GTP-binding ADP-ribosylation factor-like protein'],['General function prediction only '],['POORLY CHARACTERIZED'],,,,,,,,"[3737, 5344, 8400, 3827, 4994, 24058]","['molecular_function', 'biological_process', 'biological_process', 'cellular_component', 'biological_process', 'molecular_function']","['GTP binding', 'small GTPase mediated signal transduction', 'protein transport', 'intracellular', 'intracellular protein transport', 'hydrolase activity, acting on acid anhydrides, acting on GTP, involved in cellular and subcellular movement']","['GO:0005525', 'GO:0007264', 'GO:0015031', 'GO:0005622', 'GO:0006886', 'GO:0050800']"
